Link,Player,K,HB,D,M,G,B,T,HO,GA,I50,CL,CG,R50,FF,FA,AF,SC
pp-richmond-tigers--jack-graham,Jack Graham,22,11,33,5,0,1,3,0,1,11,5,4,1,2,1,115,120
pp-richmond-tigers--dustin-martin,Dustin Martin,19,12,31,7,2,2,4,0,4,8,5,2,0,2,1,131,158
pp-richmond-tigers--kane-lambert,Kane Lambert,13,15,28,6,0,1,1,0,1,4,1,6,1,0,2,86,67
pp-richmond-tigers--shane-edwards,Shane Edwards,11,16,27,2,0,0,3,0,1,3,3,1,1,1,0,84,111
pp-richmond-tigers--dion-prestia,Dion Prestia,12,13,25,3,0,1,4,0,0,1,9,5,4,2,1,87,82
pp-richmond-tigers--shai-bolton,Shai Bolton,13,12,25,2,1,1,1,0,1,8,9,4,0,0,1,77,85
pp-richmond-tigers--jayden-short,Jayden Short,21,2,23,5,0,0,3,0,0,4,0,2,9,0,0,94,100
pp-richmond-tigers--josh-caddy,Josh Caddy,12,5,17,4,1,1,2,0,0,3,0,3,2,0,0,73,76
pp-richmond-tigers--liam-baker,Liam Baker,4,11,15,0,0,0,0,0,1,4,0,6,1,0,3,25,48
pp-richmond-tigers--kamdyn-mcintosh,Kamdyn Mcintosh,8,5,13,3,0,0,1,0,0,3,2,4,3,3,1,47,56
pp-richmond-tigers--jason-castagna,Jason Castagna,8,5,13,4,2,2,0,0,0,2,0,0,0,0,0,60,54
pp-richmond-tigers--marlion-pickett,Marlion Pickett,7,6,13,5,0,0,3,0,0,4,0,6,3,0,3,51,57
pp-richmond-tigers--toby-nankervis,Toby Nankervis,4,8,12,0,0,0,1,26,0,1,3,2,0,0,1,55,76
pp-richmond-tigers--jake-aarts,Jake Aarts,7,5,12,2,2,0,2,0,0,3,0,4,0,0,3,48,67
pp-richmond-tigers--thomas-lynch,Tom Lynch,6,5,11,4,1,1,0,1,0,2,0,4,0,0,2,42,43
pp-richmond-tigers--nick-vlastuin,Nick Vlastuin,6,5,11,2,0,0,1,0,0,0,0,2,2,0,1,35,39
pp-richmond-tigers--noah-balta,Noah Balta,10,1,11,4,0,1,1,3,0,3,2,2,0,0,1,49,75
pp-richmond-tigers--jack-riewoldt,Jack Riewoldt,9,1,10,4,4,2,5,0,0,3,0,3,0,1,1,85,93
pp-richmond-tigers--dylan-grimes,Dylan Grimes,4,6,10,2,0,0,2,0,0,1,0,2,0,0,1,35,40
pp-richmond-tigers--daniel-rioli,Daniel Rioli,6,4,10,4,2,1,1,0,0,1,0,3,0,1,0,56,57
pp-richmond-tigers--david-astbury,David Astbury,4,5,9,4,0,0,1,2,1,1,0,2,2,2,1,39,49
pp-richmond-tigers--nathan-broad,Nathan Broad,4,5,9,3,0,0,0,0,0,0,0,1,1,0,1,28,45
pp-richmond-tigers--jack-ross,Jack Ross,6,2,8,2,0,0,4,0,1,5,1,1,0,1,0,45,48
pp-carlton-blues--sam-walsh,Sam Walsh,12,19,31,6,0,1,3,0,1,3,6,5,3,2,4,95,122
pp-carlton-blues--edward-curnow,Edward Curnow,16,13,29,8,0,0,1,0,1,1,7,5,4,0,1,99,94
pp-carlton-blues--patrick-cripps,Patrick Cripps,8,20,28,2,0,1,4,0,1,3,5,4,2,3,1,87,88
pp-carlton-blues--jack-newnes,Jack Newnes,14,13,27,10,0,0,1,0,0,2,2,2,3,2,0,104,109
pp-carlton-blues--adam-saad,Adam Saad,16,9,25,5,0,0,4,0,0,4,2,3,6,2,0,99,114
pp-carlton-blues--sam-docherty,Sam Docherty,23,1,24,5,0,0,1,0,0,1,1,3,11,1,0,91,94
pp-carlton-blues--zac-fisher,Zac Fisher,10,10,20,3,0,2,1,0,1,4,1,4,0,0,0,65,73
pp-carlton-blues--lachlan-fogarty,Lachlan Fogarty,12,8,20,4,0,1,2,0,0,3,0,2,0,2,1,72,78
pp-carlton-blues--paddy-dow,Paddy Dow,10,8,18,0,1,1,3,0,1,5,1,5,0,2,1,64,60
pp-carlton-blues--will-setterfield,Will Setterfield,11,6,17,6,0,2,2,0,1,2,2,0,0,0,0,73,82
pp-carlton-blues--sam-petrevski-seton,Sam P-Seton,12,3,15,3,0,0,1,0,0,0,1,2,5,1,0,56,52
pp-carlton-blues--michael-gibbons,Michael Gibbons,8,7,15,7,2,0,1,0,1,2,1,1,1,0,0,75,77
pp-carlton-blues--jacob-weitering,Jacob Weitering,11,3,14,5,0,0,1,0,0,0,1,2,9,0,1,55,67
pp-carlton-blues--tom-williamson,Tom Williamson,8,4,12,3,0,0,0,0,1,2,0,1,2,0,1,38,52
pp-carlton-blues--marc-murphy,Marc Murphy,8,3,11,4,0,0,3,0,1,3,0,1,0,0,0,54,54
pp-carlton-blues--liam-jones,Liam Jones,9,1,10,2,0,0,0,0,0,0,1,4,5,2,2,31,52
pp-carlton-blues--harry-mckay,Harry McKay,7,3,10,6,2,3,0,0,1,1,0,1,0,0,0,60,69
pp-carlton-blues--lachlan-plowman,Lachlan Plowman,8,1,9,3,1,0,1,0,0,0,0,0,4,1,0,46,61
pp-carlton-blues--oscar-mcdonald,Oscar McDonald,8,1,9,3,2,1,2,0,0,2,0,2,0,3,1,56,53
pp-carlton-blues--marc-pittonet,Marc Pittonet,4,5,9,3,0,0,0,34,0,0,2,1,3,1,0,66,85
pp-carlton-blues--lochie-o-brien,Lochie O'Brien,7,2,9,1,1,0,4,0,0,1,0,2,1,2,0,52,50
pp-carlton-blues--levi-casboult,Levi Casboult,7,1,8,3,1,0,1,1,0,0,1,3,0,1,2,38,35
pp-carlton-blues--jack-silvagni,Jack Silvagni,6,1,7,2,1,0,2,0,0,2,0,1,0,0,0,40,33
pp-collingwood-magpies--scott-pendlebury,Scott Pendlebury,15,10,25,4,0,1,5,0,2,7,4,8,2,1,2,93,102
pp-collingwood-magpies--jack-crisp,Jack Crisp,17,6,23,7,1,0,2,0,0,3,4,6,6,2,3,91,84
pp-collingwood-magpies--john-noble,John Noble,18,4,22,5,0,0,2,0,0,0,2,3,3,4,1,86,90
pp-collingwood-magpies--brayden-maynard,Brayden Maynard,18,3,21,4,0,0,4,0,0,2,0,2,7,2,0,90,106
pp-collingwood-magpies--taylor-adams,Taylor Adams,8,12,20,2,0,0,4,0,0,3,8,7,0,1,1,68,42
pp-collingwood-magpies--jack-madgen,Jack Madgen,8,11,19,7,0,0,3,0,0,0,0,2,4,0,0,79,79
pp-collingwood-magpies--darcy-moore,Darcy Moore,14,4,18,12,0,0,1,0,0,0,0,3,5,1,2,85,119
pp-collingwood-magpies--jordan-de-goey,Jordan De Goey,10,6,16,1,0,3,4,0,2,4,4,3,1,0,1,61,69
pp-collingwood-magpies--mason-cox,Mason Cox,11,4,15,6,2,1,0,7,0,3,2,2,1,1,1,77,68
pp-collingwood-magpies--jordan-roughead,Jordan Roughead,9,5,14,6,0,0,1,0,0,2,0,4,6,1,1,57,66
pp-collingwood-magpies--josh-thomas,Josh Thomas,8,5,13,4,0,3,0,0,0,1,0,1,1,3,0,52,51
pp-collingwood-magpies--jeremy-howe,Jeremy Howe,11,2,13,6,0,0,3,0,0,0,0,0,5,1,0,68,83
pp-collingwood-magpies--tyler-brown,Tyler Brown,6,7,13,5,0,0,2,0,0,2,0,1,0,0,0,55,53
pp-collingwood-magpies--isaac-quaynor,Isaac Quaynor,9,4,13,4,0,0,3,0,0,2,0,1,3,0,0,59,62
pp-collingwood-magpies--jamie-elliott-1,Jamie Elliott,7,5,12,3,2,0,2,0,0,2,0,1,1,1,1,58,55
pp-collingwood-magpies--will-hoskin-elliott,Will H-Elliott,4,8,12,2,0,0,4,0,1,1,1,5,0,0,3,41,43
pp-collingwood-magpies--brodie-grundy,Brodie Grundy,8,3,11,3,0,0,3,39,0,1,3,3,2,1,2,85,70
pp-collingwood-magpies--brody-mihocek,Brody Mihocek,7,4,11,6,2,2,2,0,0,3,0,3,0,0,1,66,67
pp-collingwood-magpies--brayden-sier,Brayden Sier,1,8,9,0,0,0,4,0,0,1,2,0,0,0,0,35,37
pp-collingwood-magpies--josh-daicos,Josh Daicos,2,7,9,1,0,0,1,0,0,2,2,3,1,1,3,19,30
pp-collingwood-magpies--oliver-henry,Oliver Henry,4,0,4,1,0,0,0,0,0,0,0,3,1,0,0,15,9
pp-collingwood-magpies--trey-ruscoe,Trey Ruscoe,2,1,3,2,0,0,2,0,1,1,0,2,0,0,2,16,13
pp-western-bulldogs--bailey-smith,Bailey Smith,23,13,36,8,2,0,3,0,0,5,3,9,2,3,5,131,123
pp-western-bulldogs--jackson-macrae,Jackson Macrae,17,18,35,7,0,0,7,0,1,4,3,4,1,2,1,135,118
pp-western-bulldogs--lachlan-hunter,Lachlan Hunter,16,15,31,11,0,0,1,0,2,4,3,2,1,0,0,115,100
pp-western-bulldogs--josh-dunkley,Josh Dunkley,13,17,30,7,0,1,3,0,1,3,2,3,2,0,0,107,113
pp-western-bulldogs--thomas-liberatore,Thomas Liberatore,14,14,28,3,0,1,7,0,0,5,7,2,2,1,2,103,108
pp-western-bulldogs--marcus-bontempelli,Marcus Bontempelli,13,15,28,9,0,1,3,0,1,2,3,6,1,1,3,101,92
pp-western-bulldogs--caleb-daniel,Caleb Daniel,18,10,28,5,0,0,5,0,0,3,1,1,5,2,0,111,107
pp-western-bulldogs--bailey-williams,Bailey Williams,20,7,27,7,0,0,4,0,0,3,0,3,6,1,2,106,121
pp-western-bulldogs--patrick-lipinski,Patrick Lipinski,9,17,26,4,0,0,2,0,0,3,2,1,3,1,0,82,95
pp-western-bulldogs--taylor-duryea,Taylor Duryea,15,7,22,9,0,0,1,0,0,0,0,1,2,0,1,87,88
pp-western-bulldogs--alex-keath,Alex Keath,15,3,18,9,0,0,4,0,0,2,0,1,4,2,0,96,85
pp-western-bulldogs--adam-treloar,Adam Treloar,7,11,18,2,0,0,3,0,1,3,5,4,1,1,1,59,63
pp-western-bulldogs--bailey-dale,Bailey Dale,12,4,16,3,0,0,1,0,0,2,0,2,3,1,1,55,72
pp-western-bulldogs--anthony-scott,Anthony Scott,9,7,16,1,0,1,1,0,0,5,0,0,0,3,0,52,56
pp-western-bulldogs--stefan-martin,Stefan Martin,6,9,15,1,1,0,2,15,0,0,6,3,0,3,1,68,94
pp-western-bulldogs--josh-bruce,Josh Bruce,11,4,15,11,1,0,1,0,1,4,0,3,0,1,0,85,70
pp-western-bulldogs--aaron-naughton,Aaron Naughton,10,5,15,7,2,0,1,0,0,6,0,3,0,0,0,77,64
pp-western-bulldogs--timothy-english,Timothy English,10,4,14,8,1,1,2,4,0,0,1,1,0,1,0,82,96
pp-western-bulldogs--laitham-vandermeer,Laitham Vandermeer,5,9,14,1,2,0,4,0,0,2,1,1,0,1,0,65,98
pp-western-bulldogs--mitchell-wallis,Mitchell Wallis,4,9,13,3,0,1,1,0,0,2,1,3,0,0,1,41,45
pp-western-bulldogs--ryan-gardner,Ryan Gardner,7,4,11,7,0,0,1,0,0,0,0,0,1,0,0,54,66
pp-western-bulldogs--lachlan-mcneil,Lachlan McNeil,5,4,9,1,1,0,0,0,0,1,0,8,0,0,2,26,26
pp-melbourne-demons--clayton-oliver,Clayton Oliver,10,25,35,6,0,0,3,0,0,3,7,5,3,0,1,107,122
pp-melbourne-demons--steven-may,Steven May,21,3,24,8,0,0,0,0,0,3,1,4,8,2,1,92,117
pp-melbourne-demons--christian-petracca,Christian Petracca,13,11,24,2,2,1,3,0,0,5,1,7,1,1,1,90,98
pp-melbourne-demons--ed-langdon,Ed Langdon,13,9,22,5,1,1,4,0,0,2,1,3,4,0,0,95,105
pp-melbourne-demons--james-harmes,James Harmes,11,9,20,6,1,1,2,0,0,3,1,6,2,2,0,86,64
pp-melbourne-demons--nathan-jones,Nathan Jones,9,9,18,4,0,1,0,0,1,4,0,2,3,0,0,58,51
pp-melbourne-demons--tom-mcdonald,Tom McDonald,12,6,18,9,2,2,5,5,1,6,0,5,0,2,2,110,94
pp-melbourne-demons--christian-salem,Christian Salem,11,7,18,6,0,0,1,0,0,1,1,3,4,0,1,66,73
pp-melbourne-demons--jake-lever,Jake Lever,15,3,18,7,0,1,3,0,0,3,0,2,5,2,0,87,129
pp-melbourne-demons--angus-brayshaw,Angus Brayshaw,9,9,18,4,0,1,4,0,0,3,0,5,0,2,1,73,76
pp-melbourne-demons--alex-neal-bullen,Alex N-Bullen,11,6,17,3,0,0,0,0,0,5,5,3,1,1,0,55,71
pp-melbourne-demons--charlie-spargo,Charlie Spargo,8,8,16,2,1,0,5,0,3,3,0,2,1,2,1,71,108
pp-melbourne-demons--adam-tomlinson,Adam Tomlinson,13,2,15,7,0,0,2,0,0,2,0,3,4,0,1,69,82
