Link,Player,K,HB,D,M,G,B,T,HO,GA,I50,CL,CG,R50,FF,FA,AF,SC
pp-richmond-tigers--jack-graham,Jack Graham,22,11,33,5,0,1,3,0,1,11,5,4,1,2,1,115,120
pp-richmond-tigers--dustin-martin,Dustin Martin,19,12,31,7,2,2,4,0,4,8,5,2,0,2,1,131,158
pp-richmond-tigers--kane-lambert,Kane Lambert,13,15,28,6,0,1,1,0,1,4,1,6,1,0,2,86,67
pp-richmond-tigers--shane-edwards,Shane Edwards,11,16,27,2,0,0,3,0,1,3,3,1,1,1,0,84,111
pp-richmond-tigers--dion-prestia,Dion Prestia,12,13,25,3,0,1,4,0,0,1,9,5,4,2,1,87,82
pp-richmond-tigers--shai-bolton,Shai Bolton,13,12,25,2,1,1,1,0,1,8,9,4,0,0,1,77,85
pp-richmond-tigers--jayden-short,Jayden Short,21,2,23,5,0,0,3,0,0,4,0,2,9,0,0,94,100
pp-richmond-tigers--josh-caddy,Josh Caddy,12,5,17,4,1,1,2,0,0,3,0,3,2,0,0,73,76
pp-richmond-tigers--liam-baker,Liam Baker,4,11,15,0,0,0,0,0,1,4,0,6,1,0,3,25,48
pp-richmond-tigers--kamdyn-mcintosh,Kamdyn Mcintosh,8,5,13,3,0,0,1,0,0,3,2,4,3,3,1,47,56
pp-richmond-tigers--jason-castagna,Jason Castagna,8,5,13,4,2,2,0,0,0,2,0,0,0,0,0,60,54
pp-richmond-tigers--marlion-pickett,Marlion Pickett,7,6,13,5,0,0,3,0,0,4,0,6,3,0,3,51,57
pp-richmond-tigers--toby-nankervis,Toby Nankervis,4,8,12,0,0,0,1,26,0,1,3,2,0,0,1,55,76
pp-richmond-tigers--jake-aarts,Jake Aarts,7,5,12,2,2,0,2,0,0,3,0,4,0,0,3,48,67
pp-richmond-tigers--thomas-lynch,Tom Lynch,6,5,11,4,1,1,0,1,0,2,0,4,0,0,2,42,43
pp-richmond-tigers--nick-vlastuin,Nick Vlastuin,6,5,11,2,0,0,1,0,0,0,0,2,2,0,1,35,39
pp-richmond-tigers--noah-balta,Noah Balta,10,1,11,4,0,1,1,3,0,3,2,2,0,0,1,49,75
pp-richmond-tigers--jack-riewoldt,Jack Riewoldt,9,1,10,4,4,2,5,0,0,3,0,3,0,1,1,85,93
pp-richmond-tigers--dylan-grimes,Dylan Grimes,4,6,10,2,0,0,2,0,0,1,0,2,0,0,1,35,40
pp-richmond-tigers--daniel-rioli,Daniel Rioli,6,4,10,4,2,1,1,0,0,1,0,3,0,1,0,56,57
pp-richmond-tigers--david-astbury,David Astbury,4,5,9,4,0,0,1,2,1,1,0,2,2,2,1,39,49
pp-richmond-tigers--nathan-broad,Nathan Broad,4,5,9,3,0,0,0,0,0,0,0,1,1,0,1,28,45
pp-richmond-tigers--jack-ross,Jack Ross,6,2,8,2,0,0,4,0,1,5,1,1,0,1,0,45,48
pp-carlton-blues--sam-walsh,Sam Walsh,12,19,31,6,0,1,3,0,1,3,6,5,3,2,4,95,122
pp-carlton-blues--edward-curnow,Edward Curnow,16,13,29,8,0,0,1,0,1,1,7,5,4,0,1,99,94
pp-carlton-blues--patrick-cripps,Patrick Cripps,8,20,28,2,0,1,4,0,1,3,5,4,2,3,1,87,88
pp-carlton-blues--jack-newnes,Jack Newnes,14,13,27,10,0,0,1,0,0,2,2,2,3,2,0,104,109
pp-carlton-blues--adam-saad,Adam Saad,16,9,25,5,0,0,4,0,0,4,2,3,6,2,0,99,114
pp-carlton-blues--sam-docherty,Sam Docherty,23,1,24,5,0,0,1,0,0,1,1,3,11,1,0,91,94
pp-carlton-blues--zac-fisher,Zac Fisher,10,10,20,3,0,2,1,0,1,4,1,4,0,0,0,65,73
pp-carlton-blues--lachlan-fogarty,Lachlan Fogarty,12,8,20,4,0,1,2,0,0,3,0,2,0,2,1,72,78
pp-carlton-blues--paddy-dow,Paddy Dow,10,8,18,0,1,1,3,0,1,5,1,5,0,2,1,64,60
pp-carlton-blues--will-setterfield,Will Setterfield,11,6,17,6,0,2,2,0,1,2,2,0,0,0,0,73,82
